bizesNm,indsLclsNm,indsMclsNm,adongNm,sigunguNm,sigunguDetailNm,rdnAdr
들꽃향기,교육,기타 교육,하남동,광주광역시,광산구,광주광역시 광산구 용아로379번길 25-2
채울미용실,수리·개인,이용·미용,지원1동,광주광역시,동구,광주광역시 동구 학소로86번길 24
짐승후,예술·스포츠,스포츠 서비스,상무1동,광주광역시,서구,광주광역시 서구 내방로 247
상무국과사전문학원,교육,일반 교육,치평동,광주광역시,서구,광주광역시 서구 치평로 79
불야성,음식,주점,중앙동,광주광역시,북구,광주광역시 북구 독립로255번길 22
승효대패삼겹살,음식,한식,서창동,광주광역시,서구,광주광역시 서구 북촌길 21
팔도관광여행사,시설관리·임대,여행사·보조,충장동,광주광역시,동구,광주광역시 동구 구성로194번길 25
대주공인중개사사무소,부동산,부동산 서비스,금호2동,광주광역시,서구,광주광역시 서구 풍금로 117
주엔헤어,수리·개인,이용·미용,건국동,광주광역시,북구,광주광역시 북구 양산택지소로 28
그라픽스,과학·기술,사진 촬영,지산2동,광주광역시,동구,광주광역시 동구 지호로 151
아이리스피씨,예술·스포츠,유원지·오락,첨단2동,광주광역시,광산구,광주광역시 광산구 첨단중앙로106번길 29
양동통닭,음식,기타 간이,첨단2동,광주광역시,광산구,광주광역시 광산구 첨단내촌로70번길 28-2
정상카센타,수리·개인,자동차 수리·세차,문흥1동,광주광역시,북구,광주광역시 북구 대천로169번길 8-7
이송산업,소매,섬유·의복·신발 소매,운암3동,광주광역시,북구,광주광역시 북구 북문대로 168
다도댐메기탕,음식,한식,임동,광주광역시,북구,광주광역시 북구 서림로 24-3
해주사우나내매점,소매,종합 소매,산수2동,광주광역시,동구,광주광역시 동구 무등로 512
온국민폰,소매,가전·통신 소매,월산동,광주광역시,남구,광주광역시 남구 독립로 154
송월타올충장로,소매,섬유·의복·신발 소매,충장동,광주광역시,동구,광주광역시 동구 충장로 23
라코스테,소매,섬유·의복·신발 소매,충장동,광주광역시,동구,광주광역시 동구 독립로 268
전라도식육식당,음식,한식,문흥1동,광주광역시,북구,광주광역시 북구 대천로 163
감성수산,소매,식료품 소매,지산2동,광주광역시,동구,광주광역시 동구 지호로 49
카라,음식,주점,우산동,광주광역시,광산구,광주광역시 광산구 사암로215번길 97
아트해미술학원,교육,기타 교육,주월1동,광주광역시,남구,광주광역시 남구 서문대로812번길 4-8
지니지니,수리·개인,이용·미용,문흥1동,광주광역시,북구,광주광역시 북구 대천로 159-1
영광오토바이,수리·개인,모터사이클 수리,양동,광주광역시,서구,광주광역시 서구 천변좌로 214-1
푸드박스광주점,음식,한식,하남동,광주광역시,광산구,광주광역시 광산구 하남대로54번안길 25
킹코일침대,소매,가구 소매,화정1동,광주광역시,서구,광주광역시 서구 군분2로 54
광주점SOUP,소매,섬유·의복·신발 소매,풍암동,광주광역시,서구,광주광역시 서구 금화로 240
승호광택사,수리·개인,자동차 수리·세차,일곡동,광주광역시,북구,광주광역시 북구 일곡마을로 1
이브장식,소매,철물·건설자재 소매,신가동,광주광역시,광산구,광주광역시 광산구 신가번영로34번길 20
진영에너지,소매,연료 소매,평동,광주광역시,광산구,광주광역시 광산구 평동로913번길 58
크레파스주,과학·기술,전문 디자인,치평동,광주광역시,서구,광주광역시 서구 시청서편로4번길 19-8
에덴주,소매,오락용품 소매,운암3동,광주광역시,북구,광주광역시 북구 북문대로 70
위드앤피플,과학·기술,광고,치평동,광주광역시,서구,광주광역시 서구 상무중앙로 9
